Proto,State,sTos,dTos,SrcWin,DstWin,sHops,dHops,sTtl,dTtl,TcpRtt,SynAck,AckDat,SrcPkts,DstPkts,SrcBytes,DstBytes,SAppBytes,DAppBytes,Dur,TotPkts,TotBytes,TotAppByte,Rate,SrcRate,DstRate,Label,target
udp,CON,0.0,0.0,,,19.0,1.0,109.0,127.0,0.0,0.0,0.0,1,1,76,60,34,18,0.000768,2,136,52,1302.083252,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,81,133,39,91,0.000306,2,214,130,3267.973877,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,73,484,31,442,0.000414,2,557,473,2415.458984,0.0,0.0,flow=From-Normal-V42-Grill,1
udp,CON,0.0,0.0,,,12.0,1.0,116.0,127.0,0.0,0.0,0.0,1,2,79,1457,37,1373,0.001258,3,1536,1410,1589.825073,0.0,83333.328125,flow=Background-UDP-Established,0
tcp,RST,0.0,0.0,65535.0,5840.0,15.0,1.0,113.0,63.0,0.158122,0.000335,0.157787,3,1,182,62,0,0,0.170938,4,244,0,17.550222,11.700149,0.0,flow=Background-TCP-Established,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,80,209,38,167,0.000391,2,289,205,2557.544678,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,12.0,1.0,52.0,127.0,0.0,0.0,0.0,1,1,75,60,33,18,0.000771,2,135,51,1297.016846,0.0,0.0,flow=Background-UDP-Established,0
tcp,RST,0.0,0.0,65535.0,0.0,23.0,1.0,105.0,63.0,0.0,0.0,0.0,3,3,186,180,0,0,2.844247,6,366,0,1.757934,0.703199,0.703203,flow=Background-Established-cmpgw-CVUT,0
udp,CON,0.0,0.0,,,18.0,1.0,110.0,127.0,0.0,0.0,0.0,3,3,237,180,111,54,2440.788574,6,417,165,0.002049,0.000819,0.000819,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,1.0,1.0,127.0,63.0,0.0,0.0,0.0,1,1,85,178,43,136,0.000325,2,263,179,3076.923096,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
tcp,REQ,0.0,,64240.0,,1.0,,127.0,,0.0,0.0,0.0,3,0,186,0,0,0,9.012962,3,186,0,0.221903,0.221903,0.0,flow=From-Botnet-V42-TCP-Attempt-SPAM,1
tcp,FIN,0.0,0.0,16194560.0,7224.0,2.0,17.0,126.0,47.0,0.129605,0.129343,0.000262,6,5,1564,1276,1204,980,13.374478,11,2840,2184,0.747693,0.377499,0.301998,flow=Background-Established-cmpgw-CVUT,0
udp,CON,0.0,0.0,,,14.0,1.0,50.0,127.0,0.0,0.0,0.0,1,1,80,67,38,25,0.000859,2,147,63,1164.144287,0.0,0.0,flow=Background-UDP-Established,0
tcp,REQ,0.0,,65535.0,,1.0,,127.0,,0.0,0.0,0.0,3,0,186,0,0,0,8.85723,3,186,0,0.225804,0.225804,0.0,flow=Background-TCP-Attempt,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,81,133,39,91,0.000218,2,214,130,4587.155762,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,14.0,1.0,114.0,127.0,0.0,0.0,0.0,1,1,75,60,33,18,0.000901,2,135,51,1109.87793,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,13.0,1.0,115.0,127.0,0.0,0.0,0.0,2,2,148,120,64,36,2022.925903,4,268,100,0.001483,0.000494,0.000494,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,13.0,1.0,115.0,127.0,0.0,0.0,0.0,3,3,222,180,96,54,3019.174805,6,402,150,0.001656,0.000662,0.000662,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,71,269,29,227,0.000434,2,340,256,2304.147461,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,1.0,13.0,127.0,115.0,0.0,0.0,0.0,1,1,73,62,31,20,0.253307,2,135,51,3.947778,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,3.0,1.0,253.0,63.0,0.0,0.0,0.0,1,1,77,196,35,154,0.00022,2,273,189,4545.45459,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,15.0,1.0,49.0,127.0,0.0,0.0,0.0,2,2,152,120,68,36,2974.311768,4,272,104,0.001009,0.000336,0.000336,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,25.0,1.0,103.0,127.0,0.0,0.0,0.0,1,1,77,490,35,448,0.001098,2,567,483,910.746826,0.0,0.0,flow=Background-UDP-Established,0
